FIPS,x,y,caves,WNS,tau,area,sr,Hibernate,MaherWNS
1001,873480.0521,-511615.7321,0,Inf,151.3076923,1477.83,14,8,Inf
1003,790181.7645,-721626.875,0,Inf,119.0666667,4305.33,12,7,Inf
1005,997066.5802,-574095.7831,0,Inf,130.4705882,2387.16,14,8,Inf
1007,823167.4965,-464271.791,43,Inf,155.8461538,1721.42,12,7,Inf
1009,863485.4086,-350908.0592,90,Inf,151.0714286,1669.9,14,9,Inf
1011,965975.1005,-552411.2214,0,Inf,150.1818182,1546.2,14,8,Inf
1013,878088.1461,-599812.7995,2,Inf,160.4,1981.21,13,7,Inf
1015,933166.9739,-368322.1908,26,Inf,167.3846154,1528.4,13,8,Inf
1017,984098.0969,-458163.1302,0,Inf,171.9090909,1562.1,14,8,Inf
1019,949197.1744,-320490.4308,10,Inf,175.4166667,1573.98,14,9,Inf
1021,863755.3676,-477729.1045,1,Inf,151.3571429,1869.36,13,7,Inf
1023,726684.5416,-584951.251,1,Inf,139,2410.46,13,7,Inf
1025,772173.4014,-617058.3106,24,Inf,143.8095238,3170.28,13,7,Inf
1027,936022.7504,-423667.0007,0,Inf,177.9230769,1662.64,13,8,Inf
1029,963021.6291,-374475.605,0,Inf,178.5555556,1508.26,13,8,Inf
1031,946826.1086,-631666.4506,0,Inf,118.5,1757.5,13,8,Inf
1033,742903.2615,-281291.4509,64,Inf,177.3846154,1573.23,15,10,Inf
1035,850932.1045,-638043.4041,3,Inf,149.0666667,2229.07,13,7,Inf
1037,905748.8245,-463949.8294,0,Inf,157.8181818,1627.53,14,8,Inf
1039,904846.8078,-652512.2339,1,Inf,152.7727273,2766.91,12,7,Inf
1041,912288.1441,-597433.7485,1,Inf,154.6363636,1560.17,13,7,Inf
1043,833870.2347,-336746.4194,4,Inf,170.6666667,1952.67,14,9,Inf
1045,982101.6337,-624685.7759,0,Inf,121.75,1470.48,13,8,Inf
1047,832587.6394,-539273.5117,0,Inf,148.85,2723.77,13,7,Inf
1049,928355.6911,-290609.64,106,Inf,168.6,1922.48,14,9,Inf
1051,917871.7654,-500606.9773,0,Inf,155.0833333,1661.88,14,8,Inf
1053,839598.4071,-673150.9115,0,Inf,142.6842105,2454.57,12,7,Inf
1055,911626.7985,-339276.8072,102,Inf,159.5555556,1411.84,14,9,Inf
1057,759196.1702,-389878.4754,0,Inf,155.5625,1629.64,13,8,Inf
1059,742756.6356,-310463.0032,24,Inf,173.7,1680.29,15,10,Inf
1061,964565.0358,-664090.2856,0,Inf,137.7272727,1490.27,13,8,Inf
1063,747627.7739,-488407.7179,0,Inf,152.9333333,1861.5,13,7,Inf
1065,778344.1756,-495263.8117,0,Inf,147.3846154,1684.5,13,7,Inf
1067,1015817.882,-611516.7134,0,Inf,134.75,1480.98,13,8,Inf
1069,1014572.936,-652243.2944,0,Inf,121.7,1497.58,13,8,Inf
1071,906415.8533,-256919.5075,1526,5,178.9565217,2942.78,14,9,6
1073,838764.5307,-401420.8113,28,Inf,157.6363636,2838.76,13,8,Inf
1075,725901.2504,-386229.5474,0,Inf,157.8,1572.57,12,7,Inf
1077,755441.5809,-257872.2475,63,5,182.6153846,1798.17,15,10,6
1079,789822.8914,-297318.2414,106,7,169.9285714,1862.96,14,9,8
1081,992968.2855,-493304.4906,0,Inf,150.6363636,1593.77,14,8,Inf
1083,816160.7704,-261929.669,27,Inf,173.5,1590.25,14,9,Inf
1085,875477.39,-554199.3986,1,Inf,153.6428571,1806.02,14,8,Inf
1087,962730.4543,-519883.4609,0,Inf,151.7692308,1587.93,14,8,Inf
1089,856489.6699,-264523.5137,460,Inf,176.2,2172.54,14,9,Inf
1091,767710.5492,-554102.3289,0,Inf,141.3157895,2638.92,13,7,Inf
1093,741700.5625,-344803.2733,2,Inf,177.6666667,1919.97,14,9,Inf
1095,884061.0817,-306087.2941,332,Inf,168.5833333,1701.09,14,9,Inf
1097,742639.1276,-717995.7719,0,Inf,122.5238095,3088.78,12,7,Inf
1099,814564.1348,-625615.7358,11,Inf,147.3,2666.95,13,7,Inf
1101,916509.8002,-542250.5355,0,Inf,155,2164.3,14,8,Inf
1103,831977.5364,-301014.3607,299,7,160.0714286,1549.07,14,9,8
1105,811082.9674,-505786.2023,1,Inf,153.25,1852.16,13,7,Inf
1107,731277.5244,-441884.6409,0,Inf,153.1333333,2315.89,12,7,Inf
1109,945386.0094,-585790.0616,1,Inf,146.2857143,1795.14,14,8,Inf
1111,973308.1805,-416915.1562,0,Inf,175.6666667,1497.5,13,8,Inf
1113,1011918.37,-526611.5801,0,Inf,127.5,1634.29,13,7,Inf
1115,889377.6514,-379066.2436,31,Inf,154.7272727,1763.26,13,8,Inf
1117,863471.3294,-431819.1465,9,Inf,152.8461538,2028.35,13,8,Inf
1119,726884.7597,-520008.4658,0,Inf,149.2352941,2241.91,13,7,Inf
1121,907099.1053,-413688.6783,9,Inf,167.0625,1871.35,13,8,Inf
1123,947865.7372,-469011.7312,0,Inf,171.9411765,2035.27,14,8,Inf
1125,783261.0576,-435405.6328,2,Inf,150.4583333,3399.74,12,7,Inf
1127,799719.0362,-377318.4794,0,Inf,168,2187.66,13,8,Inf
1129,737594.3696,-651075.5894,0,Inf,148,2873.42,13,7,Inf
1131,817254.6467,-577756.6165,4,Inf,146.7777778,2293.04,13,7,Inf
1133,787549.8654,-339050.9035,0,Inf,165.3333333,1576.8,13,8,Inf
4001,-1210546.462,-150293.6565,5,Inf,247.337963,28927.8,24,16,Inf
4003,-1290599.572,-534832.9451,46,Inf,201.7094017,16102.8,26,14,Inf
4005,-1405053.87,-69303.79978,47,Inf,250.4317549,48183.9,22,15,Inf
4007,-1356005.536,-307611.6475,28,Inf,206.0549451,12300.3,25,15,Inf
4009,-1286306.346,-416570.9566,0,Inf,197.2197802,12098.1,27,15,Inf
4011,-1222309.868,-393907.3347,14,Inf,220.1666667,4810.74,24,15,Inf
4012,-1645487.145,-266411.3069,0,Inf,115.2906977,11751.7,22,13,Inf
4013,-1516723.333,-332452.7864,6,Inf,119.0614525,23984.1,26,15,Inf
4015,-1584001.257,-53262.51435,7,Inf,181.1814672,34963.4,24,15,Inf
4017,-1284672.285,-139466.787,3,Inf,241.984375,25877.2,25,16,Inf
4019,-1476357.584,-480977.0569,18,Inf,141.9152542,23777.3,27,14,Inf
4021,-1420535.451,-399203.0943,16,Inf,147.9805825,13955.8,28,15,Inf
4023,-1398659.19,-558240.36,34,Inf,206.28,3220.29,24,12,Inf
4025,-1498522.934,-193661.4294,10,Inf,219.5534591,21144.2,24,15,Inf
4027,-1657917.306,-372642.8637,0,Inf,108.3962264,14299,20,11,Inf
5001,422158.6892,-348397.8554,0,Inf,149.5789474,2597.89,12,7,Inf
5003,392243.5822,-473310.1662,0,Inf,155.25,2412.83,11,6,Inf
5005,326568.3577,-130454.3001,46,5,192.6923077,1522.94,12,9,6
5007,155735.0824,-128244.5082,121,Inf,158.2666667,2290.79,11,7,Inf
5009,259361.9793,-129310.5251,81,Inf,194.8,1614.76,11,8,Inf
5011,354161.5759,-444537.2318,0,Inf,162.75,1706.19,11,6,Inf
5013,321751.8812,-435309.6297,0,Inf,166.1428571,1708.73,12,7,Inf
5015,219697.2731,-127243.8878,131,Inf,178.9,1613.7,10,7,Inf
5017,435371.3958,-463400.8433,0,Inf,133.3333333,1808.79,11,6,Inf
5019,259065.2607,-382651.6496,0,Inf,174.8333333,2236.16,11,6,Inf
5021,495144.5211,-112216.2821,0,Inf,172.3333333,1768.05,13,10,Inf
5023,356770.7671,-212785.2824,7,Inf,177.8888889,1514.81,12,7,Inf
5025,350371.0087,-396126.0895,0,Inf,155.5555556,1552.51,12,7,Inf
5027,256795.5288,-475102.1518,0,Inf,160.6666667,2073.37,11,6,Inf
5029,296810.3623,-245294.1611,0,Inf,176.5833333,1483.13,11,6,Inf
5031,479347.8531,-173166.5429,0,Inf,172.5,1912.6,13,10,Inf
5033,158534.6282,-212429.4322,46,Inf,174.9285714,1636.57,12,7,Inf
5035,514478.6637,-240238.0811,0,Inf,159.8571429,1712.6,15,10,Inf
5037,471307.3569,-233887.8809,0,Inf,160.5,1626,15,10,Inf
5039,307164.8945,-389740.917,0,Inf,167.6363636,1722.6,12,7,Inf
5041,433057.2801,-400014.87,0,Inf,139.0666667,2064.03,11,6,Inf
5043,393100.7932,-429817.8797,0,Inf,148.8888889,2038.83,11,6,Inf
5045,330894.6612,-256609.9633,0,Inf,174.2857143,1730.71,12,7,Inf
5047,190952.4125,-220710.416,5,8,176.9,1504.62,12,7,9
5049,372111.7442,-117225.3641,14,Inf,193.5384615,1637.79,11,8,Inf
5051,259799.8707,-323433.6165,1,8,177.3333333,1900.45,12,7,9
5053,326671.4504,-352912.2951,0,Inf,166.8,1668.86,12,7,Inf
5055,485187.7478,-141164.4257,0,Inf,171.4166667,1510.88,13,10,Inf
5057,215555.4536,-418041.5901,0,Inf,156.7142857,1871.77,12,7,Inf
5059,277608.4904,-352060.3396,0,Inf,170.6923077,1641.79,12,7,Inf
5061,183634.2985,-380358.1267,0,Inf,167.3333333,1573.17,12,7,Inf
